放送日,世帯,個人全体,男 20～34才,女 20～34才
2023/1/8,3.8,2.3,2.2,1.8
2023/1/15,3.7,2.1,2.2,1.7
2023/1/22,3.7,2.1,1.4,2.1
2023/1/29,4,2.2,1.6,1.5
2023/2/5,4.1,2.4,1.6,1.5
2023/2/12,3.8,2.3,1.5,2.4
2023/2/19,4.9,3,2.7,2.9
2023/2/26,4.5,2.5,1.9,2.9
2023/3/5,4.5,2.7,2.5,2.7
2023/3/12,3.6,2.1,1.6,2.1
2023/3/19,2.7,1.5,1.2,1.3
2023/3/26,3.7,2.1,2.1,2
2023/4/2,3.1,1.7,1.1,2.4
2023/4/9,4.1,2.3,2,2.4
2023/4/16,3.7,2.2,1.3,1.8
2023/4/23,2.9,1.7,0.7,1.9
2023/4/30,3,1.8,1.9,2.7
2023/5/7,3.2,1.8,0.9,1.6
2023/5/14,3.5,2,2.4,2.2
2023/5/21,3.2,1.7,1.4,1.1
2023/5/28,3.6,2.1,2.2,2.4
2023/6/4,3.2,1.7,1.4,1.5
2023/6/11,3.1,1.6,0.9,1.2
2023/6/18,3.2,1.7,1.6,1.6
2023/6/25,3.3,1.8,1.3,2.4
2023/7/2,4.1,2.3,1.5,1.5
2023/7/9,3.5,1.8,1.3,1.2
2023/7/16,3.8,2.2,2,1.8
2023/7/23,4,2.3,1.6,2.2
2023/7/30,3.3,1.9,0.6,1.9
2023/8/6,3.5,2.1,1.4,1.5
2023/8/13,3.9,2.2,1.5,1.7
2023/8/20,3.1,1.7,1.2,1.7
2023/8/27,3.8,2.3,1.5,1.9
2023/9/3,3.2,1.8,1.7,1.5
2023/9/10,2.8,1.6,1.8,1.7
2023/9/24,3.6,2.1,2.2,1.8
2023/10/8,3.6,2,1,2.4
2023/10/15,3.7,2.2,1.7,1.5
2023/10/22,3.6,1.9,1.5,1.4
2023/10/29,3.6,1.8,0.9,1.8
2023/11/5,3.9,2.2,1.9,1.5
2023/11/12,3.2,1.7,0.6,1.2
2023/11/19,3.4,2,1.3,1.6
2023/11/26,3.7,2.3,1.7,2
2023/12/3,3.4,1.9,0.8,1.4